jurisdiction,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
CALIFORNIA,36154147,190178,2503,9392,,63622,114661,1200531,250521,692467,257543
COLORADO,4663295,18498,173,2026,,3948,12351,188449,34746,127602,26101
CONNECTICUT,3500701,9542,105,712,,3933,4792,90270,15245,64416,10609
DELAWARE,841741,5332,37,377,,1306,3612,26245,5811,18085,2349
FLORIDA,17768191,125957,883,6592,,30141,88341,712998,164783,472912,75303
GEORGIA,9132553,40725,564,2143,,14041,23977,378534,84463,249594,44477
HAWAII,1273278,3253,24,343,,1001,1885,61115,9792,42188,9135
IDAHO,1429367,3670,35,577,,266,2792,38556,8066,27606,2884
ILLINOIS,12765427,70496,770,4313,,23255,42158,394670,77635,277662,39373
INDIANA,6266019,20302,356,1856,,6809,11281,216778,43756,151278,21744
IOWA,2965524,8697,40,847,,1153,6657,84370,18147,60723,5500
KANSAS,2748172,10701,101,1098,,1795,7707,104588,19028,76222,9338
KENTUCKY,4172608,11134,190,1421,,3690,5833,105608,26458,70354,8796
LOUISIANA,4507331,26889,450,1421,,5337,19681,166611,39382,112840,14389
MAINE,1318220,1483,19,326,,323,815,31889,6323,24218,1348
MARYLAND,5589599,39369,552,1266,,14378,23173,198483,35922,128491,34070
MASSACHUSETTS,6433367,29644,178,1751,,7837,19878,151727,34728,98079,18920
MICHIGAN,10100833,55936,629,5199,,13348,36760,312892,70527,194090,48275
MINNESOTA,5126739,15243,115,2258,,4724,8146,158301,29716,114304,14281
MISSISSIPPI,2908496,8131,214,1147,,2405,4365,95231,26866,60873,7492
MISSOURI,5797703,30477,402,1625,,7196,21254,227809,42822,159288,25699
MONTANA,934737,2634,18,301,,177,2138,29407,3642,23794,1971
NEBRASKA,1758163,5052,44,581,,1040,3387,60348,9408,45359,5581
NEVADA,2412301,14654,206,1016,,4702,8730,102424,23481,52012,26931
NEW HAMPSHIRE,1306819,1761,19,406,,365,971,24031,4192,18493,1346
NEW JERSEY,8703150,30919,417,1208,,13215,16079,203391,38980,136728,27683
NEW MEXICO,1925985,12448,144,1041,,1893,9370,79575,20939,50707,7929
NEW YORK,19315721,85839,874,3636,,35179,46150,405990,68034,302220,35736
NORTH CAROLINA,8672459,40650,585,2302,,12635,25128,353855,104298,221091,28466
